ISBN,書籍簡介
9789862241899,"

本書依據教育部所部頒之「99年高級中學課程標準」及其「課程綱要」編輯而成。本書特點：1.本書每一章開宗明義先點出「重大觀念」及命題焦點！2.書中「範例」及「類題」均是一時之選！3.每節後面都有自我磨練題（實力備戰CHALLENGE），每章後面也有綜合測驗題（精選信心評量）！4.章末的「實驗」，其步驟述採用畫龍點睛式的提綱挈領來取代傳統長篇大論！
                    
"
9789862241967,"

本書依據教育部所部頒之「99年高級中學課程標準」及其「課程綱要」編輯而成。本書特點：1.本書每一章開宗明義先點出「重大觀念」及命題焦點！2.書中「範例」及「類題」均是一時之選！3.每節後面都有自我磨練題（實力備戰CHALLENGE），每章後面也有綜合測驗題（精選信心評量）！4.章末的「實驗」，其步驟述採用畫龍點睛式的提綱挈領來取代傳統長篇大論！
                    
"
